,premise,hypothesis,label,reviwers_output,confuse_sentence,low_quality
0,Um indivíduo está temerariamente conduzindo um automóvel,O indivíduo está ouvindo música enquanto dirige.,2,Neutral,OK,N
1,Uma imagem dela mesma e de outra mulher está sendo capturada pela senhora,A senhora está segurando uma câmera profissional,2,Confusing,P,S
2,Uma mulher está sorrindo em uma cidade à beira do rio,A mulher está chorando na montanha.,0,Contradiction,OK,N
3,A região foi severamente danificada pelo rompimento de uma barragem,A barragem rompeu e causou danos severos na região.,1,Entailment,OK,N
4,Há uma fila na agência bancária,A agência bancária está vazia,0,Contradiction,OK,N
5,A estampa azul é o detalhe principal do jogo de lençol,A cor azul é o elemento mais distintivo do jogo de lençol,1,Entailment,OK,N
6,Um filhotinho de cachorro está mostrando sinais de impaciência,O filhotinho de cachorro tem pelos macios.,2,Neutral,OK,N
7,Uma mulher está fazendo música com duas guitarras,Nenhuma mulher está fazendo música,0,Contradiction,OK,N
8,"Uma senhora e uma criança estão de mãos dadas em frente à oca, sobre um chão de terra",A senhora e a criança estão em um moderno apartamento na cidade,0,Contradiction,OK,N
9,Um pote de barro contendo tremoços está posicionado sobre um azulejo decorativo com borda de madeira,Um pote de barro com tremoços está colocado sobre um suporte com borda de madeira,1,Entailment,OK,N
10,A mulher de cabelos longos não está esperando na estação de ônibus,Uma mulher de cabelos longos está caminhando pela cidade.,2,Neutral,OK,N
11,Uma máquina está realizando a limpeza da areia,A máquina funciona a base de energia elétrica,2,Neutral,OK,N
12,A bola de beisebol está sendo lançada no estádio.,A bola de beisebol está em movimento,1,Entailment,OK,N
13,O gato está caçando o rato,O gato tem pelo branco e preto,2,Neutral,OK,N
14,O inventário e a regularização de bens imóveis são requisitos necessários para a continuação de uma ação envolvendo casas de papel,É necessário concluir o inventário e a regularização de propriedades para prosseguir com uma ação que envolve casas de papel.,1,Entailment,OK,N
15,Um ipê-amarelo em flor sob um céu nublado,O ipê-amarelo tem uma aparência impressionante sob um céu nublado,2,Neutral,OK,N
16,Uma menina está sentada à mesa escrevendo em alguns cadernos,A menina está ocupada escrevendo em seus cadernos à mesa,1,Entailment,OK,N
17,Um menino está brincando em um parque infantil,O menino está em casa estudando.,0,Contradiction,OK,N
18,Várias pessoas estão percorrendo a floresta que é bela e coberta de folhas outonais,As pessoas estão caminhando em uma praia ensolarada.,0,Contradiction,OK,N
19,Um ex-combatente está exibindo diversos artefatos de uma batalha para um grupo de estudantes,O veterano de guerra está mostrando vários itens de uma batalha para um conjunto de alunos,1,Entailment,OK,N
20,Minha esposa negra está sendo promovida em um anúncio para a transmissão ao vivo de amanhã,Minha esposa não está envolvida em nenhum anúncio.,0,Contradiction,OK,N
21,A mulher está olhando a muito tempo para o oceano,A mulher está observando o oceano,1,Entailment,OK,N
22,Uma garotinha observa atentamente um grupo de amigos jogando frisbee no parque,A menina não está prestando atenção em um jogo,0,Contradiction,OK,N
23,Uma criança desfavorecida compartilha seu biscoito com seu filhote de cachorro,A criança desfavorecida tem um gato.,2,Neutral,OK,N
24,A biblioteca tem uma grande mesa central sobre a qual estão livros empilhados e uma estante ao fundo,A estante na biblioteca está vazia,0,Contradiction,OK,N
25,Costureiras estão engajadas na produção de máscaras,As costureiras estão confeccionando vestidos.,0,Contradiction,OK,N
26,A mulher está recusando uma coletiva de imprensa,A mulher está comendo um sanduíche,2,Neutral,OK,N
27,O gato está dormindo.,O gato tem pelo preto.,2,Neutral,OK,N
28,A mulher está assistindo televisão,A mulher está lendo um livro,0,Contradiction,OK,N
29,Uma mulher grávida exibe sua barriga saudável,A mulher grávida está usando uma blusa azul,2,Neutral,OK,N
30,Uma cômoda verde é adornada com flores brancas e docinhos,A cômoda não tem nenhum adorno.,0,Contradiction,OK,N
31,Um ciclista está parado ao lado da ciclovia sem um colete reflexivo,O ciclista está usando um colete reflexivo,0,Contradiction,OK,N
32,Um gato está perseguindo algo no jardim,O gato está dormindo dentro de casa,0,Contradiction,OK,N
33,Uma criança alegre está brincando no parque,Uma criança está no parque.,1,Entailment,OK,N
34,Os pisos estão sendo encerados por uma mulher,A mulher está usando luvas para encerar os pisos.,2,Neutral,OK,N
35,Uma gatinha de pelagem negra está usando uma bandana de crochê feita em lã rosa e branca,A gatinha está dormindo no sofá,2,Neutral,OK,N
36,Uma mulher está posicionada no cume da montanha com o céu estrelado como pano de fundo,A mulher está no vale da montanha,0,Contradiction,OK,N
37,Uma cena do filme principal é mostrada no trailer,O trailer não apresenta nenhuma cena do filme principal.,0,Contradiction,OK,N
38,A mulher de vestido vermelho está cantando jazz no microfone,Uma apresentação de música está sendo realizada por uma mulher.,1,Entailment,OK,N
39,Uma mulher branca vestindo uma blusa azul exibe um sorriso surpreso,Uma mulher de blusa azul está surpresa.,1,Entailment,OK,N
40,A campanha para testagem de HIV e sífilis é deve ser feita periodicamente,A testagem de HIV e sífilis deve ser realizada de forma rotineira,1,Entailment,OK,N
41,Equipamentos de segurança estão sendo utilizados por uma equipe de indivíduos que está realizando treinamento de resgate em altura,O grupo de pessoas está realizando um exercício de salvamento vertical com o uso de proteções adequadas,1,Entailment,OK,N
42,O garoto gosta de correr no parque.,O garoto está se exercitando.,1,Entailment,OK,N
43,Uma mão feminina segura uma tigela de açaí,A tigela de açaí é grande,2,Neutral,OK,N
44,Uma equipe de uniforme laranja está recolhendo faixas de postes e árvores,Os trabalhadores não estão tocando em faixas ou cartazes.,0,Contradiction,OK,N
45,Uma mulher está executando uma acrobacia de skate em pleno vôo,Uma mulher está no ar fazendo uma acrobacia de skate,1,Entailment,OK,N
46,Um filhote de girafa não está mastigando uma flor delicada,O filhote de girafa está perto de um arbusto.,2,Neutral,OK,N
47,Uma mulher toca violino em uma orquestra sinfônica,A mulher está dançando em um grupo de ballet,0,Contradiction,OK,N
48,Os folders estão fornecendo ilustrações e orientações para conscientizar a população durante a pandemia do novo coronavírus,Os folders estão sendo distribuídos online,2,Neutral,OK,N
49,Visitantes são fotografados com as obras de arte que criaram na oficina,As obras de arte criadas pelos visitantes na oficina são vendidas em um leilão.,2,Neutral,OK,N
50,Uma pesquisa indica que o consumo de vinho pode contribuir para o combate às rugas e manutenção da jovialidade da pele,A venda de vinho aumentou.,2,Neutral,OK,N
51,Uma modelo branca de cabelos loiros está posando com um suéter roxo e saia jeans,A modelo não está vestindo um suéter roxo e saia jeans,0,Contradiction,OK,N
52,Uma menina branca e loira está sentada em uma cadeira na loja,A menina tem um ursinho de pelúcia na mão,2,Neutral,OK,N
53,Uma fagulha é produzida durante a remoção de um cabo energizado,A fagulha pode iniciar um incêndio se houver material inflamável próximo.,2,Neutral,OK,N
54,Um marinheiro está sorrindo para um mergulhador,O mergulhador não vê o sorriso do marinheiro.,0,Disagreement,OK,S
55,O anúncio divulga vagas para vigilantes em um show,O anúncio é sobre um show de rock,2,Disagreement,OK,S
56,Os nadadores participam de treinos diários,Os nadadores estão se exercitando todos os dias,1,Entailment,OK,N
57,Há pessoas próximas a um tronco de árvore no chão.,Há pessoas perto de um objeto de madeira no chão.,1,Entailment,OK,N
